Trait,Metric,Method,Score,Score SE
Years of Education,Ratio,S-LDSC,0.12945383226841917,0.01850786012090632
Years of Education,Ratio,LD2MAF,0.14213802237200493,0.018202240549505318
Years of Education,Ratio,S-LD2MAF,0.14172459506395332,0.017294474478347296
Years of Education,Ratio,LD2,0.20417783545387144,0.01670968564158549
Years of Education,Ratio,S-LD2,0.17522447380346273,0.016621515511739106
Years of Education,LRT,LDSC,4794.156339933339,0.0
Years of Education,LRT,S-LDSC,4408.226339849643,0.0
Years of Education,LRT,LD2MAF,4724.355137336213,0.0
Years of Education,LRT,S-LD2MAF,4713.416263723222,0.0
Years of Education,LRT,LD2,16748.730845122365,0.0
Years of Education,LRT,S-LD2,14947.488711683545,0.0
Respiratory and ENT Diseases,hg2,LDSC,0.04302370264671103,0.004165898771491117
Respiratory and ENT Diseases,hg2,S-LDSC,0.05589433746852275,0.0043721946965767115
Respiratory and ENT Diseases,hg2,LD2MAF,0.043863497340158764,0.004167701576801425
Respiratory and ENT Diseases,hg2,S-LD2MAF,0.0559423061096283,0.004303237617375847
Respiratory and ENT Diseases,hg2,LD2,0.049490172475537275,0.004026712418927104
Respiratory and ENT Diseases,hg2,S-LD2,0.05257877032991809,0.003991571822273558
Respiratory and ENT Diseases,Intercept,LDSC,1.0703232650076786,0.012685548027671802
Respiratory and ENT Diseases,Intercept,S-LDSC,1.0356269639572204,0.013154493255340528
Respiratory and ENT Diseases,Intercept,LD2MAF,1.0657913983147402,0.011645205013741132
Respiratory and ENT Diseases,Intercept,S-LD2MAF,1.0377904760283725,0.012584772164858543
Respiratory and ENT Diseases,Intercept,LD2,1.061517253357154,0.011084389265496517
Respiratory and ENT Diseases,Intercept,S-LD2,1.0406790517171265,0.011709852283241872
Respiratory and ENT Diseases,Ratio,LDSC,0.20252161868711221,0.0365326854521996
Respiratory and ENT Diseases,Ratio,S-LDSC,0.10260090183150418,0.037883185127843166
Respiratory and ENT Diseases,Ratio,LD2MAF,0.18876063490744022,0.03341099822054696
Respiratory and ENT Diseases,Ratio,S-LD2MAF,0.10842381270640661,0.036106689397905053
Respiratory and ENT Diseases,Ratio,LD2,0.19360553414750492,0.034884507797937316
Respiratory and ENT Diseases,Ratio,S-LD2,0.12802407627960802,0.0368529490893107
Respiratory and ENT Diseases,LRT,LDSC,1273.9477973626344,0.0
Respiratory and ENT Diseases,LRT,S-LDSC,720.3022989587917,0.0
Respiratory and ENT Diseases,LRT,LD2MAF,1210.1843123530562,0.0
Respiratory and ENT Diseases,LRT,S-LD2MAF,760.2303868191666,0.0
Respiratory and ENT Diseases,LRT,LD2,3231.413715839386,0.0
Respiratory and ENT Diseases,LRT,S-LD2,2298.9025357274804,0.0
Auto Immune Traits,hg2,LDSC,0.006258749244714108,0.0016468634388627074
Auto Immune Traits,hg2,S-LDSC,0.010180204583266933,0.002197810641269845
Auto Immune Traits,hg2,LD2MAF,0.0060941861648172125,0.00168983812471405
Auto Immune Traits,hg2,S-LD2MAF,0.009829230020696888,0.002175571886148789
Auto Immune Traits,hg2,LD2,0.010588140412161298,0.001733340383861356
Auto Immune Traits,hg2,S-LD2,0.011554087582749959,0.001943491794172168
Auto Immune Traits,Intercept,LDSC,1.0103668456380839,0.008006736873670347
Auto Immune Traits,Intercept,S-LDSC,1.0021477880492233,0.0097820181065615
Auto Immune Traits,Intercept,LD2MAF,1.0109535047230722,0.007844596876339418
Auto Immune Traits,Intercept,S-LD2MAF,1.0039041129918864,0.009484483560845403
Auto Immune Traits,Intercept,LD2,0.9976380557604605,0.006673092335951854
Auto Immune Traits,Intercept,S-LD2,0.9918212139527959,0.00817431273147145
Auto Immune Traits,Ratio,LDSC,0.2014635069191347,0.15559846706143515
Auto Immune Traits,Ratio,S-LDSC,0.041738917277398216,0.1900982942443624
Auto Immune Traits,Ratio,LD2MAF,0.21448730326131973,0.15360986932649
Auto Immune Traits,Ratio,S-LD2MAF,0.07644883427067478,0.18572149765974386
Auto Immune Traits,Ratio,LD2,-0.047792552616342715,0.13502609894036757
Auto Immune Traits,Ratio,S-LD2,-0.1654929256818618,0.16540241076878962
Auto Immune Traits,LRT,LDSC,27.672849996044533,0.0
Auto Immune Traits,LRT,S-LDSC,6.575424207432661,0.0
Auto Immune Traits,LRT,LD2MAF,29.04070998696261,0.0
Auto Immune Traits,LRT,S-LD2MAF,11.682400587276788,0.0
Auto Immune Traits,LRT,LD2,-21.254309466923587,0.0
Auto Immune Traits,LRT,S-LD2,-81.18710576422745,0.0
Skin Color,hg2,LDSC,0.0902694070802602,0.017083150587167972
Skin Color,hg2,S-LDSC,0.0833339027356452,0.018014438422335133
Skin Color,hg2,LD2MAF,0.08678138847773861,0.014652474770014556
Skin Color,hg2,S-LD2MAF,0.0765337712657342,0.01560235538694744
Skin Color,hg2,LD2,0.07912478589903957,0.017841488204896727
Skin Color,hg2,S-LD2,0.07098396915444914,0.01965317479571041
Skin Color,Intercept,LDSC,1.1403188440558811,0.053030179698015704
Skin Color,Intercept,S-LDSC,1.1657196430019208,0.0640779667325452
Skin Color,Intercept,LD2MAF,1.1543675039333452,0.050878690583375144
Skin Color,Intercept,S-LD2MAF,1.187768344548444,0.06335971692413724
Skin Color,Intercept,LD2,1.2376508719164552,0.05573777063752941
Skin Color,Intercept,S-LD2,1.2760904090479934,0.06981909816482058
Skin Color,Ratio,LDSC,0.2330651815676786,0.08808145864544438
Skin Color,Ratio,S-LDSC,0.27525510878775467,0.10643148503319201
Skin Color,Ratio,LD2MAF,0.26075987524015326,0.08594503811263225
Skin Color,Ratio,S-LD2MAF,0.31718107017940766,0.10702817276570976
Skin Color,Ratio,LD2,0.433323174634642,0.10163004042418343
Skin Color,Ratio,S-LD2,0.503412302130795,0.12730537457293012
Skin Color,LRT,LDSC,4242.85391853546,0.0
Skin Color,LRT,S-LDSC,4762.419248129794,0.0
Skin Color,LRT,LD2MAF,4577.306506377383,0.0
Skin Color,LRT,S-LD2MAF,5205.73846736821,0.0
Skin Color,LRT,LD2,18382.935024111997,0.0
Skin Color,LRT,S-LD2,19703.332165455096,0.0
FEV1-FVC Ratio,hg2,LDSC,0.24551106045639137,0.012139909179408683
FEV1-FVC Ratio,hg2,S-LDSC,0.2753287539706837,0.013649769774310675
FEV1-FVC Ratio,hg2,LD2MAF,0.24695238697431127,0.012279803776731851
FEV1-FVC Ratio,hg2,S-LD2MAF,0.2730631261918042,0.01337412288647352
FEV1-FVC Ratio,hg2,LD2,0.2972553181843808,0.013348728305096596
FEV1-FVC Ratio,hg2,S-LD2,0.28147903025446913,0.013214841046953314
FEV1-FVC Ratio,Intercept,LDSC,1.1869288059122023,0.024314624289765694
FEV1-FVC Ratio,Intercept,S-LDSC,1.1197966304355056,0.02739979004983952
FEV1-FVC Ratio,Intercept,LD2MAF,1.1800064360772788,0.023744838423066003
FEV1-FVC Ratio,Intercept,S-LD2MAF,1.1315949454068934,0.025924783595066597
FEV1-FVC Ratio,Intercept,LD2,1.1703197957906681,0.015876482541693007
FEV1-FVC Ratio,Intercept,S-LD2,1.1109649911462631,0.01950842458934629
FEV1-FVC Ratio,Ratio,LDSC,0.14660009481337555,0.019068897427748296
FEV1-FVC Ratio,Ratio,S-LDSC,0.0939512628589557,0.02148845813020223
FEV1-FVC Ratio,Ratio,LD2MAF,0.14205159800589437,0.018738175789115796
FEV1-FVC Ratio,Ratio,S-LD2MAF,0.10384779951158192,0.020458473696213827
FEV1-FVC Ratio,Ratio,LD2,0.14829248189961972,0.013823190598685739
FEV1-FVC Ratio,Ratio,S-LD2,0.09661398350473055,0.016985416679698936
FEV1-FVC Ratio,LRT,LDSC,11310.739346826304,0.0
FEV1-FVC Ratio,LRT,S-LDSC,7962.37698397768,0.0
FEV1-FVC Ratio,LRT,LD2MAF,10988.18717325307,0.0
FEV1-FVC Ratio,LRT,S-LD2MAF,8599.14426210156,0.0
FEV1-FVC Ratio,LRT,LD2,30480.93600288022,0.0
FEV1-FVC Ratio,LRT,S-LD2,21692.829535429482,0.0
High Cholesterol,hg2,LDSC,0.03709611549359172,0.0052197157187464085
High Cholesterol,hg2,S-LDSC,0.050191649737781764,0.00522875867533958
High Cholesterol,hg2,LD2MAF,0.037647254789314376,0.005071286934747264
High Cholesterol,hg2,S-LD2MAF,0.04964111929213009,0.005043324826050714
High Cholesterol,hg2,LD2,0.0489012374567418,0.005581937688300983
High Cholesterol,hg2,S-LD2,0.051475751723283926,0.005668345360721012
High Cholesterol,Intercept,LDSC,1.0952212989750236,0.030197668657200784
High Cholesterol,Intercept,S-LDSC,1.0599775357919448,0.021161285665345544
High Cholesterol,Intercept,LD2MAF,1.0934081284605879,0.030264576133792787
High Cholesterol,Intercept,S-LD2MAF,1.0644448245018776,0.021897110189377414
High Cholesterol,Intercept,LD2,1.0799464821842717,0.02293986400322167
High Cholesterol,Intercept,S-LD2,1.0727737665934487,0.021067868628821
High Cholesterol,Ratio,LDSC,0.3143997008387112,0.09970603314643658
High Cholesterol,Ratio,S-LDSC,0.19803257793171528,0.06986989207416971
High Cholesterol,Ratio,LD2MAF,0.30960971980370366,0.10031468450537531
High Cholesterol,Ratio,S-LD2MAF,0.21360822003027216,0.07257995917458614
High Cholesterol,Ratio,LD2,0.2803124571442286,0.08043292799895803
High Cholesterol,Ratio,S-LD2,0.25516311377442275,0.07386924178257917
High Cholesterol,LRT,LDSC,1406.4331290828995,0.0
High Cholesterol,LRT,S-LDSC,996.8128118891909,0.0
High Cholesterol,LRT,LD2MAF,1396.1526267076842,0.0
High Cholesterol,LRT,S-LD2MAF,1062.3134665300022,0.0
High Cholesterol,LRT,LD2,3675.0521045601927,0.0
High Cholesterol,LRT,S-LD2,3433.8847269185353,0.0
Type 2 diabetes,hg2,LDSC,0.03867671961860894,0.0030027474820934247
Type 2 diabetes,hg2,S-LDSC,0.04879340766340067,0.003104877613144466
Type 2 diabetes,hg2,LD2MAF,0.03876189548308413,0.002844901496745379
Type 2 diabetes,hg2,S-LD2MAF,0.047877910590327505,0.0028733692358774857
Type 2 diabetes,hg2,LD2,0.047168773264595565,0.0031184400122138954
Type 2 diabetes,hg2,S-LD2,0.049383531958455004,0.00289819873093867
Type 2 diabetes,Intercept,LDSC,1.0643096253629154,0.016039465802440474
Type 2 diabetes,Intercept,S-LDSC,1.03629602745613,0.014580781205768814
Type 2 diabetes,Intercept,LD2MAF,1.06333065234066,0.015085933848987645
Type 2 diabetes,Intercept,S-LD2MAF,1.0416739829144173,0.013350879336100028
Type 2 diabetes,Intercept,LD2,1.053402647844473,0.011357769104344181
Type 2 diabetes,Intercept,S-LD2,1.0349919826291456,0.011016017696363367
Type 2 diabetes,Ratio,LDSC,0.20926012054004922,0.052191573629539356
Type 2 diabetes,Ratio,S-LDSC,0.11810535417882519,0.04744509108035869
Type 2 diabetes,Ratio,LD2MAF,0.20671843403889972,0.04924219956715916
Type 2 diabetes,Ratio,S-LD2MAF,0.1360286081042192,0.043578784796899805
Type 2 diabetes,Ratio,LD2,0.18471985362214466,0.03928654347886824
Type 2 diabetes,Ratio,S-LD2,0.121037329984629,0.038104424752447984
Type 2 diabetes,LRT,LDSC,1030.3973398783419,0.0
Type 2 diabetes,LRT,S-LDSC,640.6810775359918,0.0
Type 2 diabetes,LRT,LD2MAF,1020.5512455863645,0.0
Type 2 diabetes,LRT,S-LD2MAF,724.4956177460263,0.0
Type 2 diabetes,LRT,LD2,2577.9648377891863,0.0
Type 2 diabetes,LRT,S-LD2,1809.9578891717829,0.0
Smoking Status,hg2,LDSC,0.08250275445466418,0.003049414049580627
Smoking Status,hg2,S-LDSC,0.10007406198454562,0.0034850500237153656
Smoking Status,hg2,LD2MAF,0.0825255015497014,0.0030590046562471735
Smoking Status,hg2,S-LD2MAF,0.09771254632574974,0.003368858218678639
Smoking Status,hg2,LD2,0.09067787430176383,0.003127511819344708
Smoking Status,hg2,S-LD2,0.09572140152575385,0.0032851912754165314
Smoking Status,Intercept,LDSC,1.098586693780231,0.011130682336382435
Smoking Status,Intercept,S-LDSC,1.0586937388505084,0.010654212256826164
Smoking Status,Intercept,LD2MAF,1.097215969872583,0.010931364069147425
Smoking Status,Intercept,S-LD2MAF,1.067669855304844,0.01026761776911429
Smoking Status,Intercept,LD2,1.108656591447785,0.00919599583163319
Smoking Status,Intercept,S-LD2,1.0720105239848194,0.010256971246660003
Smoking Status,Ratio,LDSC,0.11366408469372634,0.012832957179818015
Smoking Status,Ratio,S-LDSC,0.06767008657950764,0.012283617979971856
Smoking Status,Ratio,LD2MAF,0.11186346701682094,0.012578388978689773
Smoking Status,Ratio,S-LD2MAF,0.07786564940768351,0.011814636249188553
Smoking Status,Ratio,LD2,0.12720646959110693,0.010765938343268723
Smoking Status,Ratio,S-LD2,0.08430417710937076,0.012008043723809552
Smoking Status,LRT,LDSC,4283.400427400105,0.0
Smoking Status,LRT,S-LDSC,2752.8043506201648,0.0
Smoking Status,LRT,LD2MAF,4236.050504589599,0.0
Smoking Status,LRT,S-LD2MAF,3121.569450408366,0.0
Smoking Status,LRT,LD2,13531.37410621543,0.0
Smoking Status,LRT,S-LD2,9654.946772863157,0.0
Dermatologic Diseases,hg2,LDSC,0.009990701460328816,0.002060507795992656
Dermatologic Diseases,hg2,S-LDSC,0.012029334455135047,0.0023977180415201277
Dermatologic Diseases,hg2,LD2MAF,0.010157965340834796,0.002061545109154514
Dermatologic Diseases,hg2,S-LD2MAF,0.011828572463290365,0.0023730338741965624
Dermatologic Diseases,hg2,LD2,0.013707661213141683,0.0023426986372400713
Dermatologic Diseases,hg2,S-LD2,0.012419257047852668,0.002456253887001871
Dermatologic Diseases,Intercept,LDSC,1.0264484521825665,0.008927539429949508
Dermatologic Diseases,Intercept,S-LDSC,1.020187119242574,0.009547587524941472
Dermatologic Diseases,Intercept,LD2MAF,1.0258330190338079,0.008910523036156425
Dermatologic Diseases,Intercept,S-LD2MAF,1.0209631751322372,0.009478217464964698
Dermatologic Diseases,Intercept,LD2,1.0165913970016607,0.008829715273389245
Dermatologic Diseases,Intercept,S-LD2,1.0026408503861157,0.009422081773743735
Dermatologic Diseases,Ratio,LDSC,0.3116749837091342,0.10520429275729952
Dermatologic Diseases,Ratio,S-LDSC,0.23788991573619744,0.11251109009165858
Dermatologic Diseases,Ratio,LD2MAF,0.3042604694278447,0.10494785446023618
Dermatologic Diseases,Ratio,S-LD2MAF,0.2469036041852226,0.11163414123046338
Dermatologic Diseases,Ratio,LD2,0.21912219947405676,0.11661384699799936
Dermatologic Diseases,Ratio,S-LD2,0.03487765044918572,0.12443721777500104
Dermatologic Diseases,LRT,LDSC,113.10921271934058,0.0
Dermatologic Diseases,LRT,S-LDSC,92.11661612291937,0.0
Dermatologic Diseases,LRT,LD2MAF,111.71544596503372,0.0
Dermatologic Diseases,LRT,S-LD2MAF,95.40378642390715,0.0
Dermatologic Diseases,LRT,LD2,213.53237762860954,0.0
Dermatologic Diseases,LRT,S-LD2,39.690617580199614,0.0
Hypothyroidism,hg2,LDSC,0.04512827521228751,0.003958542464858648
Hypothyroidism,hg2,S-LDSC,0.055134581678500924,0.004499508106885163
Hypothyroidism,hg2,LD2MAF,0.04634088959786569,0.0039059006647578914
Hypothyroidism,hg2,S-LD2MAF,0.05489894951499841,0.0043735203370562515
Hypothyroidism,hg2,LD2,0.0576873198500097,0.00461595263825006
Hypothyroidism,hg2,S-LD2,0.05539690823313385,0.004193055187752183
Hypothyroidism,Intercept,LDSC,1.0663278440759976,0.01442622185024163
Hypothyroidism,Intercept,S-LDSC,1.0342967672108658,0.014424629617804906
Hypothyroidism,Intercept,LD2MAF,1.059806957297283,0.013846739223171662
Hypothyroidism,Intercept,S-LD2MAF,1.0340022000676108,0.013776169423573691
Hypothyroidism,Intercept,LD2,1.0503942700846969,0.010166487114273431
Hypothyroidism,Intercept,S-LD2,1.03017828349009,0.011688918378364546
Hypothyroidism,Ratio,LDSC,0.20732432617684476,0.045092777641801224
Hypothyroidism,Ratio,S-LDSC,0.10720315504133804,0.04508780071964041
Hypothyroidism,Ratio,LD2MAF,0.1886323541971486,0.04367289585787915
Hypothyroidism,Ratio,S-LD2MAF,0.10724362743876366,0.043450317281155754
Hypothyroidism,Ratio,LD2,0.17276538589510473,0.03485350748295542
Hypothyroidism,Ratio,S-LD2,0.10345943663941543,0.040072819607080125
Hypothyroidism,LRT,LDSC,1082.478949239361,0.0
Hypothyroidism,LRT,S-LDSC,621.1279220449796,0.0
Hypothyroidism,LRT,LD2MAF,990.5037767977919,0.0
Hypothyroidism,LRT,S-LD2MAF,613.1092910659208,0.0
Hypothyroidism,LRT,LD2,2487.190893765306,0.0
Hypothyroidism,LRT,S-LD2,1600.980329957907,0.0
Platelet Count,hg2,LDSC,0.3170163201883332,0.02056188588574981
Platelet Count,hg2,S-LDSC,0.3756221106827277,0.020475090412814496
Platelet Count,hg2,LD2MAF,0.32014318739673153,0.020579154507654036
Platelet Count,hg2,S-LD2MAF,0.3761324823512011,0.020789181158303756
Platelet Count,hg2,LD2,0.36984602114974485,0.022496825780356996
Platelet Count,hg2,S-LD2,0.3763305882029211,0.020679380119636773
Platelet Count,Intercept,LDSC,1.3299569858368963,0.05376671137823377
Platelet Count,Intercept,S-LDSC,1.2592900389881418,0.048526722729564965
Platelet Count,Intercept,LD2MAF,1.3227335723756668,0.05269884146098708
Platelet Count,Intercept,S-LD2MAF,1.2799452571952954,0.04739931379969677
Platelet Count,Intercept,LD2,1.3443571180723037,0.038721352394441015
Platelet Count,Intercept,S-LD2,1.292501776676112,0.04189739801120169
Platelet Count,Ratio,LDSC,0.16345082987031223,0.026634421974366208
Platelet Count,Ratio,S-LDSC,0.12844453631500677,0.024038688197238946
Platelet Count,Ratio,LD2MAF,0.15959052652575062,0.026059377071147537
Platelet Count,Ratio,S-LD2MAF,0.138431867082547,0.023438780758289732
Platelet Count,Ratio,LD2,0.18818643302869598,0.021160686992469875
Platelet Count,Ratio,S-LD2,0.15984820152803147,0.02289635227826519
Platelet Count,LRT,LDSC,29024.225183242233,0.0
Platelet Count,LRT,S-LDSC,24622.02097313106,0.0
Platelet Count,LRT,LD2MAF,28744.289501465333,0.0
Platelet Count,LRT,S-LD2MAF,26115.138331784634,0.0
Platelet Count,LRT,LD2,86990.47767526051,0.0
Platelet Count,LRT,S-LD2,78262.51677753229,0.0
Age at Menarche,hg2,LDSC,0.2525991075009939,0.011788434503315529
Age at Menarche,hg2,S-LDSC,0.271683773806176,0.01215105393526317
Age at Menarche,hg2,LD2MAF,0.25006337898518577,0.011028311717544457
Age at Menarche,hg2,S-LD2MAF,0.26751204747250107,0.011650114852378378
Age at Menarche,hg2,LD2,0.2749009325834854,0.011357445059430258
Age at Menarche,hg2,S-LD2,0.26202866925096446,0.010718404583031384
Age at Menarche,Intercept,LDSC,1.0360976730808262,0.016222802919136182
Age at Menarche,Intercept,S-LDSC,1.042673977930173,0.016997305799163958
Age at Menarche,Intercept,LD2MAF,1.038990574037594,0.014628464619063582
Age at Menarche,Intercept,S-LD2MAF,1.0518618164992375,0.01647497504700296
Age at Menarche,Intercept,LD2,1.0793275156800612,0.011478886484080623
Age at Menarche,Intercept,S-LD2,1.0665231860562034,0.011717609027088504
Age at Menarche,Ratio,LDSC,0.04768619672591309,0.021430848734085167
Age at Menarche,Ratio,S-LDSC,0.056373708690281216,0.022453992154412954
Age at Menarche,Ratio,LD2MAF,0.05210982604772856,0.019550539212625402
Age at Menarche,Ratio,S-LD2MAF,0.06931188634690977,0.022018349435231076
Age at Menarche,Ratio,LD2,0.11958473983956736,0.017304205761125728
Age at Menarche,Ratio,S-LD2,0.10028245344168431,0.01766407551066602
Age at Menarche,LRT,LDSC,1521.741726660286,0.0
Age at Menarche,LRT,S-LDSC,1776.5379886621959,0.0
Age at Menarche,LRT,LD2MAF,1631.3744965230871,0.0
Age at Menarche,LRT,S-LD2MAF,2116.7550191181654,0.0
Age at Menarche,LRT,LD2,8898.441858826089,0.0
Age at Menarche,LRT,S-LD2,7659.805394787807,0.0
Systolic Blood Pressure,hg2,LDSC,0.19771228451384654,0.008521928545113477
Systolic Blood Pressure,hg2,S-LDSC,0.2335990034906058,0.008740463695376954
Systolic Blood Pressure,hg2,LD2MAF,0.19974284226710373,0.008393988168425296
Systolic Blood Pressure,hg2,S-LD2MAF,0.23160108785091854,0.00852602181141886
Systolic Blood Pressure,hg2,LD2,0.22528574848986505,0.009004643847245603
Systolic Blood Pressure,hg2,S-LD2,0.22961343252767327,0.00887817816737782
Systolic Blood Pressure,Intercept,LDSC,1.1965421122413775,0.02125614708534669
Systolic Blood Pressure,Intercept,S-LDSC,1.1121819718160106,0.01911666442470589
Systolic Blood Pressure,Intercept,LD2MAF,1.1868794923964103,0.02043458082551109
Systolic Blood Pressure,Intercept,S-LD2MAF,1.1197900653868076,0.018391632847159264
Systolic Blood Pressure,Intercept,LD2,1.2029291532609683,0.017789264638176268
Systolic Blood Pressure,Intercept,S-LD2,1.1338748704937986,0.018580683151136493
Systolic Blood Pressure,Ratio,LDSC,0.14116893378947631,0.015267504690421993
Systolic Blood Pressure,Ratio,S-LDSC,0.08057616340368842,0.013730793384028755
Systolic Blood Pressure,Ratio,LD2MAF,0.13418939948540268,0.014673114179348707
Systolic Blood Pressure,Ratio,S-LD2MAF,0.08601562821283432,0.013206169043317211
Systolic Blood Pressure,Ratio,LD2,0.15323057298616308,0.013432565847277571
Systolic Blood Pressure,Ratio,S-LD2,0.10108810284066161,0.014030161166944622
Systolic Blood Pressure,LRT,LDSC,13510.49570493598,0.0
Systolic Blood Pressure,LRT,S-LDSC,8662.53834001196,0.0
Systolic Blood Pressure,LRT,LD2MAF,13043.156025320874,0.0
Systolic Blood Pressure,LRT,S-LD2MAF,9175.741935281665,0.0
Systolic Blood Pressure,LRT,LD2,40764.167122258805,0.0
Systolic Blood Pressure,LRT,S-LD2,29668.171485904255,0.0
Forced Vital Capacity (FVC),hg2,LDSC,0.21596026094938967,0.008379421683320917
Forced Vital Capacity (FVC),hg2,S-LDSC,0.23351173425901323,0.007934662613637114
Forced Vital Capacity (FVC),hg2,LD2MAF,0.21810644759064277,0.008332143854865174
Forced Vital Capacity (FVC),hg2,S-LD2MAF,0.23327975660713712,0.0078587178100174
Forced Vital Capacity (FVC),hg2,LD2,0.2436388763300244,0.008685424873092148
Forced Vital Capacity (FVC),hg2,S-LD2,0.2308528190957597,0.007852282233979107
Forced Vital Capacity (FVC),Intercept,LDSC,1.1388896697790554,0.017995427343005063
Forced Vital Capacity (FVC),Intercept,S-LDSC,1.1086890084394752,0.016105020891075825
Forced Vital Capacity (FVC),Intercept,LD2MAF,1.1322161264825772,0.018074602093877224
Forced Vital Capacity (FVC),Intercept,S-LD2MAF,1.1142623767224311,0.01600130222322178
Forced Vital Capacity (FVC),Intercept,LD2,1.1532585849502293,0.013462046797880354
Forced Vital Capacity (FVC),Intercept,S-LD2,1.1299775203068783,0.013827196497525146
Forced Vital Capacity (FVC),Ratio,LDSC,0.12647482356144338,0.016386881052708475
Forced Vital Capacity (FVC),Ratio,S-LDSC,0.09897369032065924,0.014665451209527875
Forced Vital Capacity (FVC),Ratio,LD2MAF,0.12113131989199646,0.016559253900412064
Forced Vital Capacity (FVC),Ratio,S-LD2MAF,0.10468278624248216,0.014659776457337117
Forced Vital Capacity (FVC),Ratio,LD2,0.15846201079427005,0.013919109364682243
Forced Vital Capacity (FVC),Ratio,S-LD2,0.1343905089073458,0.014296656603979985
Forced Vital Capacity (FVC),LRT,LDSC,7558.021001690824,0.0
Forced Vital Capacity (FVC),LRT,S-LDSC,6192.643601359392,0.0
Forced Vital Capacity (FVC),LRT,LD2MAF,7281.886600330443,0.0
Forced Vital Capacity (FVC),LRT,S-LD2MAF,6468.593374773918,0.0
Forced Vital Capacity (FVC),LRT,LD2,23089.690630319994,0.0
Forced Vital Capacity (FVC),LRT,S-LD2,20334.341874655103,0.0
