Trait,Metric,Method,Score,Score SE
Eosinophil Count,Intercept,S-LDSC,1.1367822474418154,0.032873959235652665
Eosinophil Count,Intercept,LD2MAF,1.2488740689239142,0.0440915639717549
Eosinophil Count,Intercept,S-LD2MAF,1.1529924347477563,0.03131491109991593
Eosinophil Count,Intercept,LD2,1.261146467224107,0.03286621096669527
Eosinophil Count,Intercept,S-LD2,1.210019760905872,0.03060264473320572
Eosinophil Count,Ratio,LDSC,0.20823251916904595,0.03580323217075341
Eosinophil Count,Ratio,S-LDSC,0.11008250822535705,0.02645699976159681
Eosinophil Count,Ratio,LD2MAF,0.2013417380001322,0.03567053875721848
Eosinophil Count,Ratio,S-LD2MAF,0.12377248801441983,0.0253340922717998
Eosinophil Count,Ratio,LD2,0.23318607218263437,0.02934729588462155
Eosinophil Count,Ratio,S-LD2,0.18753339322162352,0.02732608485801516
Eosinophil Count,LRT,LDSC,14482.75678421394,0.0
Eosinophil Count,LRT,S-LDSC,9043.40379005394,0.0
Eosinophil Count,LRT,LD2MAF,14112.184915900201,0.0
Eosinophil Count,LRT,S-LD2MAF,9894.690757365228,0.0
Eosinophil Count,LRT,LD2,42087.60840543173,0.0
Eosinophil Count,LRT,S-LD2,36386.95058991294,0.0
Eczema,hg2,LDSC,0.06463182525223579,0.004653920999508829
Eczema,hg2,S-LDSC,0.08132948932411498,0.004642052287754385
Eczema,hg2,LD2MAF,0.06461613484109416,0.004599902289640093
Eczema,hg2,S-LD2MAF,0.07996527509538413,0.004710725447138294
Eczema,hg2,LD2,0.07032913666193026,0.004385665842278767
Eczema,hg2,S-LD2,0.07555364923553093,0.0043565400285332755
Eczema,Intercept,LDSC,1.0932017416614512,0.014990541823375432
Eczema,Intercept,S-LDSC,1.045744292919908,0.013643978416577312
Eczema,Intercept,LD2MAF,1.091209437480597,0.014558487065279162
Eczema,Intercept,S-LD2MAF,1.051499113168273,0.01266555015297825
Eczema,Intercept,LD2,1.0994258988341088,0.011675213030951028
Eczema,Intercept,S-LD2,1.0628183813194347,0.01256488832056879
Eczema,Ratio,LDSC,0.1817468254778462,0.02923210811325676
Eczema,Ratio,S-LDSC,0.08920305429614782,0.026606259924934598
Eczema,Ratio,LD2MAF,0.1789469925452194,0.028562806090042914
Eczema,Ratio,S-LD2MAF,0.10103791531626088,0.02484898680893901
Eczema,Ratio,LD2,0.21043862143934006,0.024711023627186864
Eczema,Ratio,S-LD2,0.1329574459062131,0.02659405454439472
